post,new_topic,label,target1,target2,target3,stance,sim1,sim2,sim3,best_target
""" Congress should delay the law for a year...""? Tell that to my niece whose 17 month old toddler has just been diagnosed with a rare disease that will need years of medical care. Without the provisions in the new health care law, this family would be facing bankruptcy. I prefer living in a nation where we have the decency to realize that health care is a right. Obviously those who seem to be objecting to the new health care law have never faced what 30 million people face in our country every day. For them another year's delay is life or death.",health care law,FAVOR,healthcare law,medical bankruptcy,human rights,FAVOR,0.9575333760246865,0.7330852785795238,0.646157591497449,healthcare law
""" Suffice it to say that the reinstitution of happy hour, with its drunken hordes stumbling forth onto Illinois' roads, is not likely to make Illinois' roads safer."" I am against drunk driving, and I think alcohol is a truly rotten drug. But it does not ""suffice to say"" that reinstating happy hour will make the roads less safe. Laws that protect public safety have to be based on actual data. Not on the moral projections we think are obvious in our heads.",happy hour,AGAINST,drunk driving,happy hour,public safety,AGAINST,0.556533142304251,1.0000000000000002,0.5603377325693748,happy hour
"""... the development of a ratings system is a complex and massive - but not impossible - undertaking"": Well, this gets two out of three right. ""I commend President Obama and his administration for tackling this difficult endeavor"": Being nice to them might be a smart career move, but it isn't going to do SUNY any good. ""I ... encourage my colleagues across the country to seek out an active role in the process."" The administration has already told your colleagues how much it values their input; you echo that message when you write ""whether we like it or not.""",rating systems,FAVOR,ERROR,ERROR,ERROR,UNABLE_TO_DETERMINE,0.10585350592189631,0.10585350592189631,0.10585350592189631,ERROR
"""...Facebook gets a bad rap; it didn't cause the cheating. It just made it more convenient to do (and perhaps easier to catch)."" Hmm, call me crazy, but Facebook shares some of the responsibility -- does it not? It's like refusing to assign blame to gun dealers and drug dealers. They increase accessibility to illicit materials, which essentially furthers the end goal of usage. Now, this isn't to suggest that Facebook is entirely at fault, but it does play an active role.",facebook,AGAINST,facebook impact,cheating convenience,responsibility sharing,AGAINST,0.6569973854858531,0.48374492368875677,0.5390532006987361,facebook impact
"""...as was President Bill Clinton's cruise-missile barrage against Osama bin Laden after the embassy bombings in Africa in 1998."" Yep, that showed him. We didn't hear from bin Laden again for what, three years? And, even assuming that we indulge this fantasy of yet another war -- what? More nation building? Like those shing bastions of democracy: Iraq, Afghanistan, Libya? We've been soooooo good at that in the middle east. More doing the same thing over and over, and expecting different results. I have no idea what the solution in the middle east is, and frankly, even with all of your expertise Mr. Gerecht, neither do you. But the first step towards sanity is recognizing that we have to have new solutions because the old ones haven't worked.",middle east,AGAINST,osama bin laden,middle east,new solutions,AGAINST,0.5609738564457948,0.9999999999999998,0.5817549547706745,middle east
"""...one must ask how much money they must make to demonstrate that they are among the best managed companies on the planet."" They must make enough money to insure that they can never fail and threaten the stability of the worlds economy again. That much money.",stability of the economy,NONE,ERROR,ERROR,ERROR,UNABLE_TO_DETERMINE,0.07762012195789754,0.07762012195789754,0.07762012195789754,ERROR
"""...the need to build attractions outside the casinos..."". Attractions bigger and better than the Atlantic Ocean and beaches?. In other locales, the shore experience is sufficient to sustain a viable local economy. Perhaps the emphasis on gambling and not a family friendly environment led to an unsustainable business model, just as occurred at the Meadowlands horse track. Casinos are no panacea for the decline of aging urban areas.",casino,AGAINST,family environment,business model,economic growth,FAVOR,0.43179544039336704,0.4215711024774813,0.39015997636767097,family environment
"""...tipping motivates people who work long, busy hours catering to the needs of others. It's the best way to ensure optimal service..."" By this logic anyone who works long, busy hours catering to the needs of others should be tipped. Tip the doctor. Tip the grocery clerk. Tip the airline counter agent. Tip the airline pilot. Etc. I fail to see why those whose particular service happens to be delivering plates of food warrant their own method of compensation. One that puts an onus of extra calculation and deliberation on every single customer, every time they sit down to eat and relax. Thankfully, most other services in this world are one-price to the customer. It's left to the employer to do the work of assessing whether the employee is providing good service.",good service,FAVOR,long hours,tip service,one price,NEUTRAL,0.6840132932010192,0.7966856502805262,0.7235975155947266,tip service
"""...type a test essay, press a button and wait for a computerize algorithm to give him a score."" That should be either 'computer' algorithm or 'computerized' algorithm. ""He was devastated when the operating system didn't like what he wrote, elated when it did."" The operating system liked or disliked nothing; it hosted the program that did all the liking etc. No wonder the author doesn't like standards in writing and complains about algorithms, it all is quite confusing to him apparently.",computer,NONE,computer algorithm,operating system,writing standards,AGAINST,0.5506067251419798,0.5571750339853588,0.41507558097110897,operating system
"""...wait some period of time to ensure that the felon has actually turned over a new leaf."" The release from prison after having met all the criteria for the sentence affirms their debt to society has been met, but you want to impose more? Pray tell, how does one satisfy the ""new leaf"" criteria? How long does it take? All Mr. Clegg's position does is try to justify a limitation on earned freedom. Our Founding Fathers would find that unconscionable.",felon,FAVOR,turn new leaf,earned freedom,founding fathers,AGAINST,0.5724127526678099,0.5816738981032719,0.43818610798824204,earned freedom
